DO,Temp,pH,Time
95.0,22.94,7.82,2.768117904663086
94.0,22.94,7.79,7.857606887817383
94.0,22.94,7.82,12.924408435821533
94.0,22.94,7.8,18.248828411102295
93.0,22.87,7.84,23.556156396865845
93.0,22.87,7.84,28.870322704315186
93.0,22.87,8.04,34.189373254776
92.0,22.87,7.86,39.50728678703308
92.0,22.87,7.78,42.81344556808472
92.0,22.87,7.99,48.12951421737671
97.0,22.87,7.9,53.442009687423706
110.0,22.87,8.05,58.75832176208496
117.0,22.87,8.08,64.07439994812012
120.0,22.87,8.04,69.39047431945801
122.0,22.87,8.07,74.7030975818634
121.0,22.87,8.12,80.01925039291382
120.0,22.94,8.05,86.02846264839172
118.0,23.06,8.08,91.1118381023407
117.0,23.12,8.05,96.1839542388916
116.0,23.25,8.09,101.2799642086029
116.0,23.31,8.11,106.59297347068787
117.0,23.37,8.08,111.90922546386719
117.0,23.44,8.12,117.22489786148071
113.0,23.37,8.19,122.5379729270935
112.0,23.37,8.12,127.85392212867737
110.0,23.37,8.12,133.17035698890686
108.0,23.25,8.14,138.48641967773438
108.0,23.19,8.15,143.79847025871277
106.0,23.19,8.17,149.11523842811584
105.0,23.19,8.16,154.4308853149414
102.0,23.25,8.16,159.74394536018372
102.0,23.25,8.18,165.0601029396057
100.0,23.31,8.1,170.3760690689087
99.0,23.31,8.19,175.6888256072998
98.0,23.31,8.15,181.0050187110901
97.0,23.37,8.17,186.3213369846344
96.0,23.37,8.18,191.63371920585632
96.0,23.37,8.18,196.95000290870667
95.0,23.44,8.18,202.82738828659058
94.0,23.44,8.17,207.89267826080322
95.0,23.44,8.16,212.98576045036316
94.0,23.44,8.16,218.21106815338135
95.0,23.5,8.13,223.5268828868866
95.0,23.5,8.18,228.8398036956787
96.0,23.5,8.1,234.15596866607666
96.0,23.56,8.17,239.4718337059021
97.0,23.56,8.15,244.7844433784485
98.0,23.56,8.14,250.10084891319275
98.0,23.56,8.16,255.41702961921692
99.0,23.62,8.17,260.72954273223877
99.0,23.62,8.13,266.04571628570557
100.0,23.69,8.14,271.3619406223297
100.0,23.69,8.11,276.6777596473694
102.0,23.75,8.11,281.99063086509705
101.0,23.75,8.14,287.30627250671387
102.0,23.81,8.13,292.6230425834656
103.0,23.81,8.14,297.93562626838684
102.0,23.81,8.15,303.2518389225006
102.0,23.87,8.13,308.56776428222656
103.0,23.87,8.17,314.5443902015686
102.0,23.87,8.17,319.6224191188812
104.0,23.94,8.1,324.6958911418915
103.0,23.94,8.12,329.8252007961273
103.0,23.94,8.15,335.14159965515137
103.0,24.0,8.1,340.4577724933624
104.0,24.0,8.09,345.77352833747864
104.0,24.0,8.12,351.08671474456787
105.0,24.06,8.13,356.40244030952454
105.0,24.12,8.12,361.7187249660492
104.0,24.12,8.11,367.0312600135803
104.0,24.12,8.12,372.34768629074097
105.0,24.12,8.11,377.66362047195435
105.0,24.19,8.11,382.976366519928
104.0,24.25,8.11,388.2924280166626
105.0,24.25,8.09,393.6087474822998
105.0,24.25,8.12,398.92481875419617
104.0,24.31,8.09,404.2374429702759
106.0,24.31,8.11,409.5533504486084
105.0,24.31,8.09,414.8694689273834
105.0,24.31,8.07,420.18263697624207
106.0,24.31,8.11,425.49851727485657
106.0,24.37,8.04,431.3393819332123
106.0,24.37,8.13,436.40790700912476
106.0,24.44,8.04,441.49696803092957
106.0,24.44,8.1,446.75945496559143
105.0,24.5,8.07,452.07184076309204
105.0,24.5,8.08,457.387832403183
106.0,24.5,8.08,462.70447969436646
105.0,24.5,8.06,468.01682472229004
107.0,24.5,8.07,473.3333535194397
106.0,24.56,8.06,478.64890718460083
106.0,24.56,8.1,483.96556210517883
105.0,24.56,8.06,489.2779173851013
106.0,24.62,8.05,494.5943548679352
106.0,24.62,8.08,499.9100658893585
106.0,24.62,8.06,505.22319412231445
107.0,24.69,8.08,510.53919100761414
107.0,24.69,8.05,515.8549785614014
106.0,24.75,8.05,521.1677360534668
107.0,24.75,8.06,526.4844136238098
107.0,24.75,8.07,531.8005146980286
106.0,24.75,8.06,537.1129775047302
106.0,24.81,8.06,543.0718052387238
107.0,24.81,8.06,548.1642410755157
108.0,24.81,8.08,553.2457201480865
106.0,24.87,8.04,558.3740241527557
106.0,24.81,8.06,563.6902456283569
106.0,24.87,8.04,569.0062885284424
107.0,24.87,8.05,574.3190670013428
107.0,24.87,8.06,579.6351072788239
108.0,24.87,8.06,584.951194524765
107.0,24.87,8.06,590.263918876648
106.0,24.94,8.05,595.579882144928
108.0,24.94,8.04,600.8957207202911
108.0,25.0,8.0,606.2080929279327
108.0,25.0,7.98,611.5244734287262
107.0,25.0,8.09,616.840785741806
107.0,25.06,8.05,622.1530849933624
108.0,25.06,8.07,627.4693326950073
107.0,25.06,8.05,632.786096572876
108.0,25.06,8.01,638.1021647453308
108.0,25.12,8.05,643.4147703647614
107.0,25.12,8.0,648.7313656806946
108.0,25.12,8.01,654.047040939331
108.0,25.12,8.02,659.8690192699432
107.0,25.19,8.03,664.96790599823
108.0,25.19,8.03,670.038407087326
109.0,25.19,7.99,675.3044362068176
108.0,25.19,8.03,680.6208629608154
108.0,25.25,8.03,685.9371795654297
108.0,25.25,8.03,691.2496795654297
107.0,25.25,7.99,696.5657558441162
107.0,25.25,8.01,701.8820252418518
109.0,25.25,8.0,707.1981632709503
108.0,25.31,8.01,712.5106205940247
108.0,25.31,8.01,717.8268432617188
108.0,25.31,8.01,723.1430096626282
108.0,25.37,8.01,728.4556484222412
109.0,25.37,8.02,733.7713606357574
108.0,25.37,8.0,739.0878849029541
109.0,25.37,7.99,744.4005038738251
109.0,25.44,8.02,749.7168231010437
109.0,25.44,8.01,755.033013343811
109.0,25.44,7.99,760.3455419540405
108.0,25.44,8.0,765.6616032123566
109.0,25.44,8.0,771.6176307201385
110.0,25.5,7.93,776.6860356330872
109.0,25.5,7.98,781.7617123126984
109.0,25.5,7.97,786.9226653575897
109.0,25.5,7.98,792.2387449741364
109.0,25.5,7.98,797.5514950752258
108.0,25.56,7.95,802.8676924705505
110.0,25.56,7.96,808.1835851669312
109.0,25.56,7.96,813.4963607788086
110.0,25.56,7.99,818.8125746250153
110.0,25.56,7.97,824.128740310669
109.0,25.62,7.93,829.4445176124573
110.0,25.62,7.95,834.7574603557587
109.0,25.62,7.98,840.0734779834747
110.0,25.62,7.98,845.3894238471985
111.0,25.69,7.94,850.702470779419
111.0,25.69,8.01,856.0186500549316
110.0,25.69,8.0,861.3347265720367
111.0,25.69,8.02,866.6473429203033
110.0,25.69,7.9,871.9635286331177
110.0,25.75,7.98,877.2798216342926
109.0,25.75,7.93,882.5958178043365
110.0,25.75,7.93,888.4143898487091
110.0,25.81,7.96,893.5064980983734
111.0,25.81,7.97,898.5818145275116
111.0,25.81,7.98,903.8534090518951
111.0,25.81,7.94,909.1697132587433
110.0,25.81,7.93,914.4856195449829
112.0,25.87,7.94,919.7983236312866
111.0,25.87,7.91,925.1145088672638
111.0,25.87,7.95,930.4304480552673
111.0,25.87,7.93,935.7467794418335
111.0,25.87,7.93,941.0593748092651
111.0,25.87,7.93,946.3755693435669
111.0,25.94,7.93,951.6916408538818
112.0,25.94,7.95,957.0040376186371
111.0,26.0,7.93,962.3206088542938
112.0,26.0,7.93,967.6365585327148
111.0,26.0,7.96,972.9490005970001
